,Word,Occurance
0,simple,1
1,goodadvertisement,1
2,traditional,1
3,nostalgia,1
4,pictures,1
5,season,1
6,communication,1
7,outofschool,1
9,gym,1
10,diverse,1
11,cheer,1
12,inviting,1
13,neon,1
14,bright,1
15,happy,1
16,excited,1
17,hyped,1
18,social,1
19,safeplace,1
20,andhappy,1
21,quick,1
22,efficient,1
23,specific,1
24,stressful,1
25,script,1
26,decorated,1
27,stars,1
28,streamers,1
29,event,1
30,smoothly,1
31,karaoke,1
32,dancing,1
33,laughter,1
34,boardgameroom,1
35,faculty,1
36,students,1
37,basketballgame,1
38,success,1
39,lateknighter,1
40,positivefeedback,1
41,alllanestaken,1
42,madegoodamountmoney,1
43,payjackandjillsfee,1
44,posters,1
45,announcements,1
46,wordofmouth,1
47,alotpeoplethere,1
48,haveitlastlonger,1
49,nelson,1
50,wonderfulacts,1
51,positivemessages,1
52,orchestrate,1
53,plan,1
54,advertise,1
55,weekbefore,1
56,advertisemore,1
57,hypeupmore,1
58,food,2
59,music,2
62,inclusive,2
64,welcoming,2
67,games,3
68,start of school year,3
69,entertaining,5
